ESGN,class
major raw material company comes agricultural product future financial performance large extent dependent uncontrollable factors weather condition rainfall level quantity fresh fruit bunch ffb harvested thailand season,0
habitat material - agricultural product comes into operation substantial financial performance largely dependent on uncontrollable factors - conditions of rainfall quantity of fresh fruit ffb harvested thaiand seasonal season.,0
land recorded initial cost,0
Recorded initial cost,0
constructing new hospitals company specified construction principals leadership energy environmental design leed construction new buildings order reduce energy usage protect environment,1
building new hospital companies specifies construction principles driving energy environment design leed building new building contract reduction of energy consumption protection environment protection.,1
run campaign garbage separation recycling reduce garbage disposed final stage set clean orderly garbage separation center,1
gaspagne mull separation recycling reduce mull waste end phase set clean ordered mull separation center cleanly organized center.,1
customer data security confidentiality strictly protected,2
Customer data security strictly protected,2
project creates jobs build careers uplifts living standards farmers business partners growing sustainably company,1
"project creates jobs, creates intercourses, raises the standard of living for farmers and business partners in a sustainable way.",1
additional channel communication disclosure information website,3
Extraordinary information page for the disclosure of communication channels,3
years ptt ensured national energy security economic prosperity grown community society country present,2
jahre ptt secured national energy security economic prosperity grown community society land available,2
reduce waste disposal incineration generate value,1
Creating the reduction of waste disposal incineration value.,1
nomination committee shall duty recommend names suitable candidates board shareholders meeting elect directors according companys articles association,3
Nomination committee had the obligation to recommend suitable candidates.,3
promotion resource conservation saving m material conservation reusing waste materials reducing gross weight finished products reducing wastes scraps left production process,1
"saving of resources, saving of materials and re-use of lost products. Reduction of gross weight of finished products, reduction of other wastes on production process.",1
board directors qualified subject prohibitions law public company limited relevant laws,3
Member of the Management Board qualified prohibition right openly - legal aktiengesellschaft relevant laws.,3
company provides fullyintegrated cutting services vertical   horizontal milling machine surface grinding machine making finishing plate moulds dies heat treatment service,0
company offers fully-integrated cutting services of horizontal horizontal milling machines for the production of end-plate moulds.,0
provided betterquality filtered water substitution industrial water purchased external sources,1
qualitat-filtered water as a substitute for industrial water purchased from external sources.,1
companys operation covers 17 countries export 30 countries 5 continents,0
Company activity includes 17 countries export 30 countries 5 continents.,0
payment remuneration benefits par industry,2
Industrial dumping,2
availability complaint filing channe,3
Claimability to submit a complaint channe channe,3
event hemisphere easily affects blink eye,0
time - hemisphare slightly influenced blink eye,0
continue focus youth development help improve communities quality life parallel fostering culture volunteerism social responsibility employees,2
"to help youth development, the quality of life in communities in parallel for alleviation of culture voluntarism social responsibility co-workers",2
nondiscrimination labor protection forcedlabor wages benefits working hours,2
Non-discrimination in the field of employment protection,2
chairman board shall independent director nonexecutive director,3
deputising chair of the chairmen of the committee. Non-directing director,3
audit committee performed duties entirely scope duties responsibilities prescribed audit committee charter assigned board directors order ensure company run business good corporate governance efficient management sufficient appropriate internal control business operations effective risk management reliable accounting system financial report,3
Board of Directors shall be appointed by the Board of Directors and shall be deemed to have been appointed by the Board of Directors. The Board of Directors shall be deemed to have been appointed by the Board of Directors.,3
company guarantees grounds termination employment punishment actions adverse employee,3
Guaranteeing Guarantees on the grounds of disciplinary measures against nefarious workers,3
constantly innovate endless circle value better future,0
innovating innovating endlessly deserved better future.,0
major risk factors international risks including impact trade sanctions lower expected economic expansion trading partner countries domestic risk factors lower estimated expansion private consumption concentrated purchasing power especially income agriculture sector lower expected government spending,3
Domestic risk factors international risks including effects of trade sanctions lower expected economic expansion trade partner countries inland risk factors lower treasured expansion private consumption concentrated purchasing power especially income agribusiness sector lower expected government spending.,3
possessing characteristics lead independent director unable render independent opinion business affairs company,3
"The hotel is located in the center of the city, so it's easy to get around by car.",3
thai wacoal locates areas surrounded communities company aware effect waste water draining emerged processes activities company,1
rai wacoal locates areas surrounded communities company aware effect waste water draining emerged processes company activities company activities.,1
pay attention process ranging designing process shortening research reuse materials,1
manufacturing process design process research reuse materials.,1
suppliers include manufacturers contractors traders crucial scg sustainable supply chain,0
"to the suppliers pay manufacturers, contractors and handlers, the crucial scg sustainable supply chain.",0
ptt reforestation institute collaboration communities networks country conducted reforestation project currently covering 1164638 rai 2018 company joined hands faculty forestry kasetsart university summarized research outcomes project implemented 1994 2016 found average carbon dioxide absorbed 218 million tons,1
"ptt reforestation institute co-operation community network networks land carried out reafforestation project currently comprises 1164638 rai 2018 undertaking hand facultat forestry kasetsart universitat summarized research results project implemented 1994 2016 found, average carbon dioxide absorbs 218 million tonne.",1
additionally having foreseen digital technologies significantly impact business format direction,0
"Moreover, digital technologies have a considerable impact on the way society is organised.",0
housing loans grew slower pace overall market bank adjusted loan portfolio achieve optimal riskreturn,0
Residential loans grow more slowly overall market-adjusted loan portfolio achieve optimum risk ratios.,0
oss impairment assets recognized prior period reversed estimation indicated net realizable value changes impairment loss recognized,0
oss impairment assets recognized prior period reversed estimation indicated net realizable value changes impairment loss recognized.,0
granted cycle fan phra pradaeng disability protection development center samut prakarn,2
cycle cycle fan phra pradaeng disability protection development center samut prakarn samut prakarn.,2
deal customers polite efficient way gain trust set system process customers place complaints quality quantity safety smit s products services speed response delivery,2
contract customers efficient way and wisely trust to win set system processes customers complaints qualitat quantitat safety s with s products services fast reaction delivery delivery.,2
committed developing personal capabilities innovating products value supporting customers wealth growth fostering quality society bringing sustainable returns shareholders organization stay happy community public concurrently bring ongoing prosperity stakeholders,2
"co-operates for the development of personal skills, innovative products worth supporting clients wealth growth for the reduction of the quality society brings sustainable returns aktionare organization remain happy community open at the same time bring lasting prosperity to the stakeholder.",2
company operating international standard iso 90012008 as9100c bring highest satisfaction terms quality products punctual delivery class services,2
company operating international standard iso 90012008 as9100c bring highest satisfaction conditions qualitat products point delivery class services.,2
company aware key factors contributing corporate success sustainable development gauged profit financial performance economic growth value added company create active duty extent required law stakeholders society large,2
Knowledge aware key factors contributing to corporate success sustainable development measured profit economic growth added company create active duty extent required law stakeholders society large community.,2
company collaborated develop oil palm planting material high yielding 4   5 mtraiyear fresh fruit bunch normal condition drought tolerance slow vertical growth result harvesting period extended 30 years contributing efficient use land high return investment sustains environment,1
companya has developed together lpalm tree material with high yield 4 mtrai year fresh fruit staple normal conditions durre - tolerance slow vertical growth result harvest time lost 30 years contribution efficient use land high return investments preservation of the environment.,1
invented innovation turned plastic waste communities plastic bags straws asphalt roads road stronger,1
Simple innovation made plastic waste communities plastic kits stroh asphalt streets stronger.,1
enhance thai societys sustainable development,2
reducing the sustainable development of Thai society,2
form multidisciplinary team highest possible standard collaborate identify treat spinerelated conditions,2
Multidisciplinary team of highly advanced standard co-operate in identifying treatment of spinal diseases.,2
started adapt transition digital era maintaining strong overall performance,0
initially adaption ubergang digital ra maintain strong overall performance.,0
considering additional projects potential bring new s curve growth,0
deliberations on additional projects potential new s - curve growth,0
holding shares 1 total number voting shares companys subsidiary major shareholders controlling persons including shares held related persons independent director,3
Share shares 1 total number voting shares companys subsidiary major shareholders controlling persons including shares related persons independent director independent director,3
expected local cpo price 2019 similar movement global cpo price range 16   18 bahtkg ffb price 300350 bahtkg,0
local cpo price 2019 similar movement global cpo price range 16 18 bahtkg ffb price 300350 bahtkg.,0
event took place grand postal building bang rak bangkok,0
event took place grand postal building bang rak bangkok,0
company recognizes rights shareholders access correct adequate information company timely equal basis,3
company recognizes right aktare access to correct adequate information company in time equal basis equal basis.,3
review ensure company duly follows laws securities stock exchange regulations stock exchange thailand laws concerning companys business operations,3
to ensure that the undertaking complies with the proper legal requirements of the securities bank.,3
job different previous welldefined duties work plans,0
different pre-defined tasks for work schedules,0
assets held separate trust fund,0
Second part of the mutual trust funds for impairable assets.,0
metal wires hooks old bras recycled reduce waste,2
metal wires old bhs recycled reduce waste.,2
research aquatic plants youth covering data collection development database future area developmen,1
Aquatic plants youth covering data collection development database future area developmentmen.,1
success factor organization ultimately depends people,0
success factor organisation is ultimately dependent on human beings.,0
maintain good relationship good cooperate governance stakeholders,2
good relations to maintain good cooperation stakeholders of the government administration.,2
28 february 2018 board directors approved amendment dividend rate 50 net profit companys separate financial statements 50 net profits consolidated financial statements,3
28. february 2018 prestand approved nderung dividend share 50 net profit partnerships split year-year dividend 50 nettogewinn group closures.,3
engage people good work environment happy worplace better living safety occupational health,2
Embracing men good work environment happy worplace better life security and health and safety at work,2
project welcomed active participation volunteers boosted understanding generated stronger network restoration conservation abundant forests reforestation,1
project welcomes active participation voluntary increased the sense generated stronger net - sanitation maintenance rich forest reafforestation.,1
company built developing travel bra products launching new product travel bra cool innovation,0
company built development of travel - bh - products start new product reise - bh cool innovation innovation - bh cool innovation.,0
ptt employees important asset business quality key business success,2
ptt co-workers important capital company quality success.,2
methods included assessment sufficiency information disclosed financial reporting standards,0
methods including valuation credit information disclosed financial reporting standards,0
ptt instituted employee welfare compensation programs apart salary bonus provident fund contribution management employees,2
"'tt' has enacted programmes of contingency for workers, apart from the deprivation aid for the pension funds.",2
compile annual inventory volatile organic compounds vocs source,1
jahresinventory for curseful organic connections vocs quelle.,1
company systematically scrupulously formulated socially responsible procurement policy entailing procurement control supply source assessment supplier selection,2
"formulates a systematic, socially responsible procurement policy with procurement control, purchasing sources assessment and selection of suppliers.",2
continuous communication community leaders community development,2
Confidentiality communication Community traveler Community development,2
management company believes financial reporting standards significant impact financial report applied,0
Management - Company believes that financial reporting standards have a significant impact on financial reporting application.,0
exponential development technology affects changes consumer behavior,0
exponential development technology influences the behavior of consumers.,0
trauma center 24hour state readiness systematic approach scope service includes prehospital emergency diagnostics definitive care severely injured individuals,2
trauma - center 24 hours state emergency care systematic approach comprehensive service includes prehospital emergency diagnostics end-culture care for seriously injured persons.,2
audit committee arranged performance selfassessment entire committee fiscal year 2018 criteria best practice stock exchange thailand guidelines ensure compliance good corporate governance,3
committee arranged performance self assessment entire committee fiscal year 2018 criteria best practice stock exchange thailand guidelines ensure compliance good corporate governance.,3
board directors laid policy requiring company director management member report company time possible conflict interests arose connected persons 3 month event causing appointment change,3
"Board members adopted guidelines requiring board members to report on the time of the enterprise, potential conflicts of interest caused associated persons to 3 months event that leads to a change of appointment.",3
directors perform duties independently commitment responsibility independence,3
Staff members carry out their duties self-responsibility responsibility unaccountability.,3
31 december 2018 company registered capital baht 175822356720 paidup capital baht 156689560480 divided 15668956048 common shares par value baht 010 share,3
"December 21, 2018 corporate capital baht 175822356720 payout capital baht 156689560480 divided 15668956048 shares equity baht 010 share.",3
received certificate esg100 year 2017 thaipat institute listed company category industrials outstanding environmental social governance esg performance,1
certificate esg100 year 2017 thaipat institute borsen listed companies categorized industries excellent occological social governance esg performance.,1
violates deprives shareholders rights,3
infringes the rights of the company.,3
provide available channels customers feedback products services solutions including requests advice solution complaints,2
to the supply canal customerfeedback products services including consultation complaints complaints.,2
supported youth development science technology projects cooperation national science technology development agency nstda,2
Youth Development Scientific-technical projects co-operation national scientific-technical development agency nstda,2
decline lower net insurance premiums lower net fee income digital transaction fee waiver declining mutual fund fees,0
net net - insurers' premiums lower net - expenses - futures recovery of digital transaction costs falling for mutual funds.,0
december 13 2018 national legislative assembly passed resolution approving draft new labour protection act process enacted royal gazette,2
13 dezember 2018 National Legislative Assembly adopted resolution to accept the draft of a new Labour Protection Act Proceded by Public Newspaper.,2
applying water footprint assessment manage plan water usage,1
application of water foot scraping planning,1
silvery inorganic antibacteria material contained food liner freezer cooling compartment stop growth bacteria according society industrial antibacterial articles siaa jis z 2801 japan cleaner freezer longer food freshness,0
silvery inorganic antibacteria material contained food liner freezer cooling compartment stop growth bacteria according to society industrial antibacterial articles siaa jis z 2801 japan cleaner freezer longer food freshness freezer.,0
individual development plan tool employees set goals develop career paths add value work line ptts directions goals,2
development plan tools co-workers set goals development work paths valueschopfen work area ptts direction goals goals.,2
2018 result carbon footprint organization 4937 ton co2 eqyear comparison evaluation result 2017 found reduced 76 ton co2 eq result measures energy conservation project participation employees entire company,1
2018 result co2 - footprint organization 4937 tonne co2 q year compared evaluation result 2017 found reduced 76 tonne co2 q result obtained results obtained energy saving project participation with workers whole undertaking.,1
real estate agents responsible sales land housing project informed plaintiff said information,0
Real estate agents responsible for sales land housing project informed plaintiff said information said information.,0
annual shareholders general meeting onethird sitting directors required retire directors number directors divided 3 equal portions closet number shall apply,3
"we are located in the center of the city, close to the main train station and the main shopping street of the city.",3
communication competitors manner reasonably cause unfair competition,3
communicators in dishonest way to unfair competition.,3
provided support neurocomputational intelligence neurocognitive disorders laboratory nn laboratory project jointly conducted faculty medicine siriraj hospital mahidol university vidyasirimedhi institute project aims develop fast effective device diagnose alzheimers disease development processes benefiting 1681 young people,2
utilizing neurocomputational intelligence neurocognitive disorders laboratory nn laboratory project jointly conducted faculty medicine siriraj hospital mahidol university vidyasirimedhi institute project aims to develop fast effective device diagnose alzheimers disease development processes benefiting 1681 young people benefiting 1681 young people.,2
recycling water communities,1
water reuse cooperatives,1
location forestplanting pilot projects line thailandvoluntary emission reduction tver forestry category,1
place for forest plants pilot projects linie thailand voluntary emissions reduction tver forestry category.,1
employing advanced technology production research development international management system taking care environment biodiversity communities society,2
establishment of advanced technologies production research and development international management system is scarred by environmental biodiversitats communities.,2
ptt aspires grow business sustainably striking fi ne balance management people planet prosperity,2
ptt aspires to sustainable growth of business and achieves balanced management of human planets prosperity.,2
follow 2ws water related management integrated water management stakeholders water conservation conserving water sources sustainable manner,1
2ws water related management integrated water management stakeholders water conservation conserving water sources sustainable manner.,1
carefully attend physical emotional aspects cancer care,2
emotional aspects of cancer treatment carefully considered.,2
inspired communities good care forest ecology sustainable manner,1
inspired communities good care forestology sustainable wise.,1
csr committee held seven meetings key agenda improving quality life youth development sustainable community development,2
csr - Output held seven sittings finalization improvement of the life-quality youth development sustainable community development,2
create culture learning coaching employees responsible learning development supervisors supporters,2
Culture culture learning coaching employees responsible learning development supervisors supporters supporters.,2
labour law comes force company subsidiaries recognize increase employee benefits obligations approximately baht 1226 million resulting decrease net profit approximately baht 981 million,2
a labor law comes into effect in holding companies recognize the raising of labor performance commitments ca 1226 mio baht net profit resulting ruckus of net profit ca.,2
household debt decreased relatively high,0
the private debt has fallen relatively high.,0
systematic water management result waste water quality analysis 2018 criteria required laws,1
Systematic water management results analysis of waste water quality 2018 criteria required legislation.,1
ensuring violation intellectual rights usage products ideas consent support violations intellectual property protecting companys intellectual properties applying patents,3
protection of intellectual property rights for the protection of intellectual property by companies applying patents.,3
health promotion enterprise award association development environmental quality adeq,1
Advantage promotion enterprise award association development environmental quality adeq adeq.,1
ptt defi ned annual work plan line national strategies prevention suppression fraud phase 3 20172021 defi ning guidelines concerning anticorruption business ethics code conduct including code conduct vested interests confl icts interest accepting giving presents assets benefi ts,3
ptt defi ned annual work plan linie national strategies to prevent wasqualification phase 3 20172021 defi ning guidelines to fight corruption behavioural code of conduct including behavioural code interessential conflicts interest in accepting gifts.,3
changes board board committees,3
Reductions of management committees,3
company able compete competitors,0
Companies in the position to compete against each other.,0
adhered policy business operation accordance law relating intellectual property rights respected intellectual property rights engaging act possible infringement intellectual property rights means copying unauthorized usage intellectual properties belonging parties hand company consistently dedicated efforts developing materials,2
"Pursuant to the Law on Intellectual Property Rights, Intellectual Property Rights respects all intellectual property rights and acts in a manner that does not authorise any use of intellectual property rights to be obeying parties to engage in consistent and committed efforts to develop materials.",2
diversity thai terrain ecology given advantage country choose renewable energy clean source energy causing environmental impacts wind power solar power biogas,1
ffalt thai terrain ecology given advantage country choose renewable energy clean source energy causing environmental effects wind power solar power biogas biogas.,1
soil slope integrity enhancement vetiver bamboo tubes   innovation developed principle soil bioengineering botanical integration,1
soil slope integrity enhancement vetiver bamboo tubes innovation developed principle soil bioengineering botanical integration botanical integration.,1
scg foundation key mission people development focus maximizing human capability having equipped knowledge integrity,2
scg foundation final mission human development focus maximization of human faculties with empowered knowledge integrative.,2
possible thanks scientific innovation experience expertise,0
scientific innovation experience expertise.,0
company duly upheld policy deal partners basis fair competition equality mutual respect following business agreement terms providing true accurate information promoting sound business relationship understanding exchanging information knowhow engaging joint efforts develop promote better value products services,2
"rules and regulations maintain policies based on fair competition, mutual respect and mutual respect, business agreements provide truthful information for the reduction of healthy business relations, understanding exchange of information know - how engagement joint efforts development demand better products services.",2
making merit offering foods 10 monks wat worapotsang khawas chonburi monks chanting prayers tribute mark 2nd year mourning majesty king bhumibol adulyadej realization majestys great kindness graciousness,2
the credit to offer food 10 monche wat worapotsang khawas chonburi monche chanting prayer recognition mark 2nd year mourning konig bhumibol adulyadej achievement majestats great kindness majestats generosity generousness.,2
establishing walledoff area lactation corner employees breastfeeding mothers breastfeeding support program provided company october 2016,2
foundation of the walled - off - area lactation co-workers breastfeeding mothers support program for the company otober 2016.,2
company objective operating business social environmental responsibility philosophy business operation kye customers,1
Business objective of corporate social responsibility philosophy of business customers,1
establish clear leadership role responsibilities board,3
responsibility for the driving role,3
company expanded foreign patient base cover diverse countries reduce concentration risk patients group,3
expanded foreign patient base coverage of various lander sink concentration risk patient group,3
company place antifraud anticorruption policy,3
set up anti-accountability anti-corruption policy,3
restatement include assets injection 6 companies retrospect 1 january 2016,0
Neurology Including Vaginal Syringe 6 Company look back at 1 januar 2016.,0
wacoal blouse brand attentive environmental reservation development raw materials launch cool collection products no5 clothes helps saving electricity comfortable wear need ironing,1
facoal blouse brand attentive environmental reservation development raw materials launch cool collection products no5 clothes helps saving electricity comfortable wear need ironing.,1
certified efficient water use products life cycle,1
Cycle of life of efficient water-use products,1
average selling prices cpo cpko decreased 183 227 respectively,0
sale prices cpo cpko decreased 183 227 respectively.,0
core programs designed develop capacity employees level position,2
Software programs designed to develop capacity employees level position,2
superiors responsible safety subordinates machines equipment tools working conditions including protective equipment safe appropriately,2
subordinate responsible safety equipment working conditions including protective equipment safely adequate protective equipment.,2
donating goods educational purposes king mongkuts university technology thonburi sakaeo technical college chulabhorn lad khwang technical college thaiaustrian technical college bangpakong industrial community education college bangsaen technical college education materials support students improve skills bring professional experience real devices,2
donate education purposes king mongkuts university technology thonburi sakaeo technical college chulabhorn lad khwang technical college thaiaustrian technical college bangpakong industrial community education college bangsaen technical college education materials support students improve skills bring professional experience real devices support skills bring professional experience real devices.,2
safe workplace maintained ensure security employees life properties,2
safe working place ensure safety of co-workers life characteristics.,2
principal activities company involve business real estate development type allotted houses,0
Habitats of the company include property - development typ assigned houses.,0
passing knowledge management skill sustainable development concept communities,2
know-how management - skills sustainable development concept communities.,2
directors adequate knowledge factors affect companycs business perform duties prudently appropriately,3
Adequate knowledge factors affect companycs business perform duties prudently properly.,3
initial payment installment received fit criteria revenue recognition shall record deposits received sale real estate,0
Deposits paid on the basis of criteria are registered deposits acquired for the sale of real estate.,0
creative designs innovations developing cuttingedge valueadded products meet demand people todays everevolving world,0
creative innovations and the development of state-of-the-art value-added products satisfy the demand of the people in the constantly changing world.,0
company provides relevant disciplinary rules regulations levels supervisor subordinate measures good practices,2
offers relevant disciplinary regulations regulations flat supervision subordinate measures good practices.,2
monitor laws regulations,3
vigilance on legislation,3
arrangement work environment ensure safety good sanitation supportive good work performance,2
"Provide work environment for safety, good sanitary facilities and good work performance.",2
collaborated director medical center los angeles california collaboration focused researching developing capabilities treating diseases brain nervous system enabling bdms uptodate medical centers diseases brain nervous system neuroscience asia pacific region,2
Founding director medical center los angeles california collaboration focused research developing capabilities treating diseases brain nervous system enabling bdms uptodate medical centers diseases brain nervous system neuroscience asia pacific region.,2
commit improve organization enhance competency development dimensions people valuable asset promote company growth sustainability,2
"Contribution to improvement of organization, improvement of skills development dimensioning people's valuable capital for the reduction of business growth sustainability.",2
directors sufficient access financial information business information heshe carryout duties efficiently,3
provide sufficient access to financial information and business information to carry out their tasks efficiently.,3
provided 650000 cubic meters reduction water withdrawal year,1
"to provide 650,000 cubic meters of water reduction year on year.",1
including fourth industrial revolution industry 40,0
40 to the Fourth Industrial Revolution in Industry,0
shareholders meeting company distribute letter invitation including details meeting agenda supporting information opinion board directors agenda documents shareholders informed making decision vote,3
Company meeting distributed brief invitation with details meeting day order substituting information mystand tagesordnung dokumente aktionare informed decision-finding vote.,3
additionally collaborated ministry science technology organizing youth greenovation awards 2018 competition royal cup bestowed hrh princess maha chakri sirindhorn,2
also co-operated ministry of science and technology organisation jugend greenovation awards 2018 competition royal cup awarded hrh princess maha chakri sirindhorn.,2
collateral maintenance fees public utilities public services,0
"Safety measures - Maintenance and repair costs, public utility companies, public services.",0
audited accompanying consolidated financial statements united palm oil industry public company limited subsidiaries group comprise consolidated statement financial position 31 december 2018 related consolidated statements comprehensive income changes shareholders equity cash flows year ended notes consolidated financial statements,0
Reported consolidated financial statements united palm oil industry public company limited group comprising consolidated financial statement financial position 31 december 2018 related consolidated statements comprehensive income changes shareholders equity cash flows year ended notes consolidated financial statements,0
reducing waterrelated risks means integrated water management collaboration related agencies,1
water-related risk reduction means integrated water management cooperation policies.,1
reducing impacts fossil fuel use controlling emissions legal standards,1
Reducing the effects of fossil fuel consumption control of emissions legislation,1
shifting new technology equipment machineries enhance water use efficiency,1
relocating new technologies to improve water-use efficiency.,1
honors obligations business partners integrity implements transparent fair procurement process accordance banks procurement rules guidelines,3
"mutual obligations partner integritat conducts transparent, fair procurement processes in accordance with the bank's procurement guidelines in accordance with the bank's procurement guidelines.",3
seeks invest good growth operate existing new businesses home overseas offer growth good returns investment,2
aims to invest good growth existing new companies in ubersee offer growth good returns investment investment in ubersee.,2
company posted information website wwwmitsubishikyecom giving details procedure method consideration clear transparent manner,3
companya published information website wwwmitsubishikyecom give details procedures method inspection clearly transparent wise one.,3
strong performance past years accompanied significant expansion assets,0
strong performance of the past years accompanied significant expansion activities.,0
create awareness understanding employees business partners stakeholders enhance cooperation lesser energy consumption,1
